Stellar Object ID;Galactic Component (1=thin disc, 2=thick disc, 3=halo);Effective Temperature (Kelvin);Age (log10 of age in years);Luminosity (log10 of luminosity in watts);Mass (mass in MSun [mass of sun])
1;2;9220.808904744617;8.05752370044543;20.868588223588258;641.1546229368868
2;1;5334.617612867452;8.49304710277191;19.554282488885672;465.99125688077424
3;1;7673.826349110211;8.686201208376222;37.14397313317893;406.60333587237574
4;1;8766.994683136523;7.603625240716557;20.32358735427583;515.2364687716622
5;1;5440.766253934496;8.251595239321306;19.600592983197032;390.44472507199976
6;3;4714.977909793977;7.252484445713176;37.84491109313481;558.512656634785
7;1;5898.467584305976;7.0628943707593725;36.7719368253037;980.1723146749974
8;1;5548.474682368989;8.089539435433615;16.57711436928707;722.939877157418
9;1;4278.8706805319525;7.541023781085696;16.497507404454765;234.42457973566778
10;1;7637.992696182865;8.73680551022347;33.59373308297172;161.20410225209872
11;3;4451.592858508319;7.468589921482635;32.79267563007731;997.9837265460588
12;2;7396.681149805576;7.339820239384462;16.573857735386504;212.22858913328582
13;2;7742.136267337161;8.808540597248228;25.146573191840538;830.6293657067022
14;1;7960.877697450063;7.581344724500195;32.05588665058322;493.9032257275724
15;1;4965.237173928104;8.009562283070894;37.035889869274214;958.7270495852893
16;3;9965.322762659118;7.23135534129099;15.49762669096493;197.40490278398855
17;2;4755.092546546241;7.007517879261897;19.99673220327781;477.158746004798
18;2;6791.192905987425;8.753434137175823;38.618341207244924;136.1162139648698
19;1;4324.875121239556;8.67862242624431;23.929723351041968;221.10893429557456
20;3;4578.828059561957;7.502738538859085;27.508150940816062;645.6530445475264
21;2;8706.727833999073;8.170891520060923;38.769340597197136;512.1492326237338
22;1;8623.893123215155;7.043971272830876;28.527330849999473;872.8864257873728
23;2;5201.889801151288;8.619504070475625;38.32445396636905;254.5933886536397
24;3;6681.881884595916;7.154113183617895;27.755337790521118;529.4598493826035
25;1;5630.635523244369;7.268873128625553;25.54803272319772;107.61384120492224
26;2;6635.486716817321;7.846723577381663;29.385515607788754;757.0335638675339
27;1;3560.2690519733064;8.063008876971104;25.809290945595688;324.4032780988091
28;1;4207.651495644477;8.796973618969659;32.58710642596546;256.7930672894149
29;2;6589.831019149808;7.760807320727967;35.15647448445063;414.9402156868481
30;3;7213.924934170071;8.38556626413487;27.907355060312035;198.97790268920144
31;2;4422.486827183497;7.26389867362434;18.09354012679999;302.87038358984876
32;2;5446.336475030018;7.236517219553548;38.18476860624512;385.85699469386583
33;2;8957.099082123248;8.423090947949692;17.373497937428635;292.2908009738234
34;3;4390.897221575462;8.480305741455101;21.19306895685765;95.4867986357775
35;2;3964.5820599792414;7.963226762873038;32.47519159626489;815.5792018849655
36;3;5834.5673083387155;7.562085820666785;39.34293152069348;146.10777741235646
37;1;5892.168459157612;8.990274065714155;28.419397034623145;449.3512785634492
38;1;5187.536956080032;8.066628447015596;19.767376585626607;623.390117816698
39;1;5503.25825546634;7.946440852980178;30.391819952190467;16.26037747376811
40;1;9945.767786028973;7.993115061446574;25.644753331195137;659.6708360436567
41;3;5907.979903811429;7.3237423927440055;25.032196158752164;76.14711592865407
42;1;5507.338663011009;7.34643000623146;37.41024451022529;761.3878921876965
43;3;4978.358442540244;7.11709101101167;31.326290912067556;636.2424700075
44;2;4050.3379340156966;7.8673503635898765;24.564610728349226;75.52747365178163
45;1;3942.59501430897;7.511786596853508;27.576394164408484;66.37724077950605
46;2;3845.4078393023665;7.948814988127877;37.155456527544274;353.0697962377616
47;1;7309.734198037208;8.18461239689877;31.88748369723971;203.96135598334126
48;1;8839.777788422181;7.652430909112153;31.710290330453514;350.67864810744925
49;1;6866.793794225388;8.028422329489558;28.844079402334234;637.1253723393321
50;2;4745.624529549345;7.439895082487691;32.29986459020085;743.3531736426781
51;1;8733.5731447818;7.6317411746310135;24.76869797411115;768.4438824370578
52;2;4005.98481674698;7.498061641506811;23.40075493684836;502.60438130956334
53;2;7249.708036506045;8.381730495968775;32.70342896825906;919.4000408096064
54;2;4263.157169363783;8.253822126558887;31.664451942152393;544.7234131903248
55;2;6371.553762202034;7.219987047058049;23.565544836261918;709.0042355168137
56;1;5257.151634507243;7.133969508300943;16.812559086380414;481.4601084272368
57;1;8088.308824445149;7.625797092134011;25.53192266011655;84.73789959096928
58;3;6444.732941518454;8.697026041384003;17.963599290686616;93.81245812966048
59;1;6675.2418283515335;7.955423546507516;31.930451509012794;591.0878677057766
60;2;7599.518170020512;8.079062572836607;36.8312475345779;755.5840457151494
61;3;6109.256773397741;8.068911507547059;25.110405951919375;497.69921904875605
62;2;4801.587232003802;7.23701412413142;16.030477403416285;467.4306979350818
63;3;6291.653227036635;8.203502230088443;24.68532770034152;140.5828530749439
64;3;4493.433892021721;8.703794977035075;31.011268835888373;363.4114897533274
65;3;3852.6110455568974;7.7964834171211574;18.822406515950025;802.1062277073413
66;1;5864.0178082770535;8.310087856702882;16.444610081312877;136.00756476435024
67;3;7885.145854112524;8.140713056057859;15.362541990259437;279.5633934017151
68;1;7368.808712640971;8.297069255933572;23.0861878632412;687.1903965802729
69;3;9859.517208761497;8.048355242855742;24.521454324911836;448.3876975610088
70;3;6785.49194768187;8.295564914364133;25.46854875811335;465.0576042144683
71;3;5740.053651399256;7.083914562172073;30.040352771123523;605.7955744721869
72;1;7170.106660551823;7.781830639437855;31.209877764145503;605.3401050364079
73;1;8152.968147220616;7.221594546463531;17.727768768602555;627.6234017842996
74;1;5008.039316773119;8.777960990632689;15.714016029879705;99.12385264323879
75;3;6020.51230232984;8.54937828974517;33.61856170797455;69.04460160246884
76;2;4372.927752250706;7.093295528581802;20.310528056495777;720.4249760632874
77;3;5843.86076880398;8.067307163113375;31.820610449738176;723.9852994116908
78;1;7520.489163310745;7.308902330232803;37.452873141800744;318.81349361005806
79;3;4460.473031571248;7.213108227574637;33.540395386377554;341.2911643115509
80;2;4019.831799340037;7.435083346258148;22.54365742005358;428.2016948318665
81;3;9686.751080516755;8.177255254522201;30.007445821053523;694.7771360160417
82;3;8193.698907211645;7.588934732475652;34.05900313224283;65.77099767849926
83;1;3758.6426032749114;8.845396859205634;24.933535115137406;351.61047064727364
84;1;8134.698013542168;7.364554689910232;28.805941362101954;932.0862455988538
85;1;6336.230872607479;8.730704197710024;35.22185999156282;975.9241305582601
86;1;5695.599719170336;7.387058681054764;35.714763128214344;932.3775906513648
87;2;9355.981287276722;8.214318975968373;31.61633369145401;550.0422569388217
88;2;4493.294572529443;8.15341609878378;30.170499715105745;388.42627062596273
89;2;4286.4369145510545;7.206152321985968;30.85759001940228;339.6073240058874
90;3;4943.831756385029;8.03391574620141;23.978790382559435;183.89580503363453
91;3;5616.482667416822;8.900248353054444;27.088609399134725;661.2526263927261
92;2;7897.267465738472;8.325821103708408;39.62906266279116;736.5137159007462
93;1;8941.404591892107;8.211392917363938;16.47724271760281;387.1019507817292
94;2;6774.134493221298;8.787657575635274;38.659860238024635;862.9626035361691
95;1;5490.0622607766145;7.633174122089956;39.646421981772704;49.756989904446634
96;1;4568.011688397792;8.569489694535443;34.93734712532048;147.73193844475128
97;1;8587.29002228764;8.17951515404627;32.51764361497388;726.4318649287028
98;3;4108.291060065141;8.465646698360832;21.919742220193605;12.718686750294069
99;2;9442.394161980417;7.550875534579443;37.3225255565587;217.92700071477364
100;3;6997.735245096454;8.486763468551615;39.511516759405225;583.7807166803135
101;1;7388.6628139378545;7.507029394914801;16.65389715960818;772.5266483893669
102;3;3704.2544415327006;7.219507009820308;34.67154259171756;734.1398607592804
103;3;5196.648027231378;7.536532973151887;21.235632827990834;862.4929644780584
104;1;6488.631758439355;8.151909577316811;30.19521081785277;233.0279796202871
105;3;9998.884253210152;7.625919695263537;27.74969083105012;131.93422699377902
106;1;9745.918940165231;8.054879955058242;31.19372599244442;991.801336016615
107;3;5635.146146564546;8.4827352369997;36.11216499657688;788.122084942182
108;2;3674.197723584501;8.431161653207159;21.715243239859568;332.55751066259074
109;2;8198.223485745602;7.1129864005070536;35.46911027980028;22.002686175983676
110;2;8719.36778627069;7.888936142877115;23.91515036280096;464.5200777071583
111;1;5970.281797316767;8.698616232540093;39.97484836805259;34.13377077404886
112;3;6480.95825817623;7.345171090141108;19.63994358112695;253.77388909414773
113;2;9729.038320016738;7.95114926502862;17.346349312245305;214.99036995532873
114;2;9939.364510011748;8.44566572523648;31.36602515558685;906.5098863837022
115;2;6185.576166761125;8.049446574715182;19.3277608343953;926.0513821948513
116;3;9770.068427893653;7.324856435577247;20.35344359717671;423.77193032437594
117;3;5120.277916715926;8.842982446143212;27.852428085638813;389.7026843448237
